Position,Name,Absolute Number,Percentage on gender,Year,Gender
1,Sofia,4636,"2,59",2024,F
2,Aurora,4265,"2,38",2024,F
3,Ginevra,4153,"2,32",2024,F
4,Vittoria,3893,"2,17",2024,F
5,Giulia,3397,"1,90",2024,F
6,Beatrice,3316,"1,85",2024,F
7,Ludovica,3064,"1,71",2024,F
8,Matilde,2959,"1,65",2024,F
9,Alice,2901,"1,62",2024,F
10,Emma,2539,"1,42",2024,F
1,Sofia,4971,"2,70",2023,F
2,Aurora,4648,"2,52",2023,F
3,Ginevra,4274,"2,32",2023,F
4,Vittoria,4194,"2,28",2023,F
5,Giulia,3732,"2,03",2023,F
6,Beatrice,3425,"1,86",2023,F
7,Ludovica,3157,"1,71",2023,F
8,Alice,3014,"1,64",2023,F
9,Emma,2529,"1,37",2023,F
10,Matilde,2465,"1,34",2023,F
1,Sofia,5465,"2,87",2022,F
2,Aurora,4900,"2,58",2022,F
3,Giulia,4198,"2,21",2022,F
4,Ginevra,3846,"2,02",2022,F
5,Vittoria,3814,"2,01",2022,F
6,Beatrice,3333,"1,75",2022,F
7,Alice,3154,"1,66",2022,F
8,Ludovica,3103,"1,63",2022,F
9,Emma,2800,"1,47",2022,F
10,Matilde,2621,"1,38",2022,F
1,Sofia,5578,"2,86",2021,F
2,Aurora,4991,"2,56",2021,F
3,Giulia,4616,"2,37",2021,F
4,Ginevra,3803,"1,95",2021,F
5,Beatrice,3647,"1,87",2021,F
6,Alice,3392,"1,74",2021,F
7,Vittoria,3202,"1,64",2021,F
8,Emma,2876,"1,48",2021,F
9,Ludovica,2813,"1,44",2021,F
10,Matilde,2633,"1,35",2021,F
1,Sofia,5604,"2,87",2020,F
2,Giulia,5012,"2,56",2020,F
3,Aurora,4987,"2,55",2020,F
4,Ginevra,3657,"1,87",2020,F
5,Alice,3333,"1,70",2020,F
6,Beatrice,3162,"1,62",2020,F
7,Emma,3069,"1,57",2020,F
8,Giorgia,2701,"1,38",2020,F
9,Vittoria,2677,"1,37",2020,F
10,Matilde,2545,"1,30",2020,F
1,Sofia,5851,"2,87",2019,F
2,Aurora,5467,"2,69",2019,F
3,Giulia,5356,"2,63",2019,F
4,Ginevra,3721,"1,83",2019,F
5,Alice,3658,"1,80",2019,F
6,Emma,3245,"1,59",2019,F
7,Giorgia,3056,"1,50",2019,F
8,Beatrice,3046,"1,50",2019,F
9,Greta,2725,"1,34",2019,F
10,Vittoria,2713,"1,33",2019,F
1,Sofia,6400,"2,99",2018,F
2,Giulia,5917,"2,76",2018,F
3,Aurora,5862,"2,74",2018,F
4,Alice,3741,"1,75",2018,F
5,Ginevra,3688,"1,72",2018,F
6,Emma,3481,"1,63",2018,F
7,Giorgia,3251,"1,52",2018,F
8,Greta,3043,"1,42",2018,F
9,Beatrice,3030,"1,42",2018,F
10,Anna,2762,"1,29",2018,F
1,Sofia,7173,"3,26",2017,F
2,Giulia,6143,"2,79",2017,F
3,Aurora,5808,"2,64",2017,F
4,Alice,3691,"1,68",2017,F
5,Ginevra,3564,"1,62",2017,F
6,Emma,3525,"1,60",2017,F
7,Giorgia,3474,"1,58",2017,F
8,Greta,3270,"1,48",2017,F
9,Martina,3129,"1,42",2017,F
10,Beatrice,2970,"1,35",2017,F
1,Sofia,7616,"3,34",2016,F
2,Aurora,6466,"2,84",2016,F
3,Giulia,6093,"2,67",2016,F
4,Emma,3814,"1,67",2016,F
5,Giorgia,3651,"1,60",2016,F
6,Martina,3533,"1,55",2016,F
7,Alice,3506,"1,54",2016,F
8,Greta,3461,"1,52",2016,F
9,Ginevra,3256,"1,43",2016,F
10,Chiara,3188,"1,40",2016,F
1,Sofia,7191,"3,08",2015,F
2,Aurora,6687,"2,87",2015,F
3,Giulia,6222,"2,67",2015,F
4,Giorgia,4099,"1,76",2015,F
5,Alice,3845,"1,65",2015,F
6,Martina,3743,"1,61",2015,F
7,Emma,3690,"1,58",2015,F
8,Greta,3676,"1,58",2015,F
9,Chiara,3516,"1,51",2015,F
10,Anna,3322,"1,42",2015,F
1,Sofia,7353,"3,06",2014,F
2,Giulia,6729,"2,80",2014,F
3,Aurora,5709,"2,38",2014,F
4,Giorgia,4502,"1,88",2014,F
5,Martina,4268,"1,78",2014,F
6,Emma,3971,"1,65",2014,F
7,Greta,3926,"1,64",2014,F
8,Chiara,3902,"1,63",2014,F
9,Sara,3766,"1,57",2014,F
10,Alice,3589,"1,49",2014,F
1,Sofia,7987,"3,30",2013,F
2,Giulia,7313,"3,02",2013,F
3,Aurora,4772,"1,97",2013,F
4,Emma,4538,"1,87",2013,F
5,Giorgia,4536,"1,87",2013,F
6,Martina,4472,"1,85",2013,F
7,Chiara,3908,"1,61",2013,F
8,Sara,3890,"1,61",2013,F
9,Alice,3661,"1,51",2013,F
10,Gaia,3619,"1,49",2013,F
1,Sofia,8266,"3,26",2012,F
2,Giulia,8194,"3,23",2012,F
3,Giorgia,5326,"2,10",2012,F
4,Martina,5157,"2,03",2012,F
5,Emma,4971,"1,96",2012,F
6,Aurora,4867,"1,92",2012,F
7,Sara,4456,"1,76",2012,F
8,Chiara,4431,"1,75",2012,F
9,Gaia,4198,"1,66",2012,F
10,Alice,3840,"1,51",2012,F
1,Sofia,8531,"3,31",2011,F
2,Giulia,8328,"3,23",2011,F
3,Martina,5692,"2,21",2011,F
4,Giorgia,5231,"2,03",2011,F
5,Sara,4964,"1,93",2011,F
6,Emma,4759,"1,85",2011,F
7,Aurora,4714,"1,83",2011,F
8,Chiara,4257,"1,65",2011,F
9,Alice,4202,"1,63",2011,F
10,Alessia,3805,"1,48",2011,F
1,Sofia,8922,"3,34",2010,F
2,Giulia,8550,"3,20",2010,F
3,Sara,6102,"2,29",2010,F
4,Martina,5965,"2,24",2010,F
5,Giorgia,5728,"2,15",2010,F
6,Chiara,4993,"1,87",2010,F
7,Aurora,4955,"1,86",2010,F
8,Alice,4355,"1,63",2010,F
9,Emma,4154,"1,56",2010,F
10,Alessia,4104,"1,54",2010,F
1,Giulia,8999,"3,31",2009,F
2,Sofia,8854,"3,26",2009,F
3,Martina,6981,"2,57",2009,F
4,Sara,6445,"2,37",2009,F
5,Giorgia,5727,"2,11",2009,F
6,Chiara,5516,"2,03",2009,F
7,Aurora,5029,"1,85",2009,F
8,Alessia,4963,"1,83",2009,F
9,Alice,4749,"1,75",2009,F
10,Francesca,3958,"1,46",2009,F
1,Giulia,9624,"3,47",2008,F
2,Sofia,8973,"3,23",2008,F
3,Martina,7327,"2,64",2008,F
4,Sara,7119,"2,57",2008,F
5,Chiara,6458,"2,33",2008,F
6,Giorgia,5770,"2,08",2008,F
7,Aurora,5088,"1,83",2008,F
8,Alessia,4996,"1,80",2008,F
9,Francesca,4379,"1,58",2008,F
10,Alice,4324,"1,56",2008,F
1,Giulia,9671,"3,59",2007,F
2,Sofia,8424,"3,12",2007,F
3,Martina,7733,"2,87",2007,F
4,Sara,7264,"2,69",2007,F
5,Chiara,6243,"2,32",2007,F
6,Aurora,5436,"2,02",2007,F
7,Giorgia,5288,"1,96",2007,F
8,Alessia,5222,"1,94",2007,F
9,Francesca,4679,"1,74",2007,F
10,Alice,4084,"1,51",2007,F
1,Giulia,10233,"3,82",2006,F
2,Sara,7316,"2,73",2006,F
3,Sofia,7263,"2,71",2006,F
4,Martina,7161,"2,67",2006,F
5,Chiara,6672,"2,49",2006,F
6,Alessia,5846,"2,18",2006,F
7,Giorgia,5673,"2,12",2006,F
8,Aurora,5668,"2,12",2006,F
9,Francesca,4973,"1,86",2006,F
10,Giada,4318,"1,61",2006,F
1,Giulia,10846,"4,12",2005,F
2,Martina,7604,"2,89",2005,F
3,Sara,7445,"2,83",2005,F
4,Chiara,7044,"2,67",2005,F
5,Alessia,6171,"2,34",2005,F
6,Sofia,6062,"2,30",2005,F
7,Francesca,5456,"2,07",2005,F
8,Giorgia,5224,"1,98",2005,F
9,Aurora,4557,"1,73",2005,F
10,Alice,4171,"1,58",2005,F
1,Giulia,12246,"4,54",2004,F
2,Martina,8528,"3,16",2004,F
3,Chiara,7545,"2,80",2004,F
4,Sara,7498,"2,78",2004,F
5,Alessia,6703,"2,49",2004,F
6,Francesca,5730,"2,13",2004,F
7,Sofia,5438,"2,02",2004,F
8,Giorgia,5298,"1,97",2004,F
9,Elisa,4751,"1,76",2004,F
10,Alice,4719,"1,75",2004,F
1,Giulia,11148,"4,32",2003,F
2,Martina,8993,"3,48",2003,F
3,Chiara,7534,"2,92",2003,F
4,Sara,7468,"2,89",2003,F
5,Alessia,6777,"2,62",2003,F
